Date,signal_window,sharpe_window,rolling_sharpe
2025-07-23,10,10,-5.291502622129181
2025-07-24,10,10,-6.808253566738678
2025-07-25,10,10,-5.879832155411398
2025-07-28,10,10,-5.512235322513031
2025-07-29,10,10,-1.7854749330385216
2025-07-30,10,10,-0.4943583228957593
2025-07-31,10,10,2.5299561013610394
2025-08-01,10,10,2.447223919385432
2025-08-04,10,10,5.941475376586417
2025-08-05,10,10,5.941475376586417
2025-08-06,10,10,5.97898034256119
2025-08-07,10,10,6.104786285433555
2025-08-08,10,10,8.134207464135784
2025-08-11,10,10,8.022856919010463
2025-08-12,10,10,7.010061971072281
2025-08-13,10,10,6.514494121967448
2025-08-14,10,10,5.252480376988999
2025-08-15,10,10,5.291502622129181
2025-09-11,10,10,-5.291502622121225
2025-09-12,10,10,3.45096280551267
2025-09-15,10,10,-5.022425238996408
2025-09-16,10,10,-3.461703566551359
2025-09-17,10,10,-2.21649721112699
2025-09-18,10,10,-5.141317976375228
2025-09-19,10,10,-6.6286250729635166
2025-09-22,10,10,-9.020787397994994
2025-09-23,10,10,-4.254406753935897
2025-09-24,10,10,-2.5639259316645835
2025-09-25,10,10,-2.516431948788804
2025-09-26,10,10,-2.6772578281129977
2025-09-29,10,10,-0.2275118253229755
2025-09-30,10,10,-0.9617630654906517
2025-10-01,10,10,-1.6416804799708056
2025-10-02,10,10,1.0010113337517632
2025-10-03,10,10,2.457366247617365
2025-10-06,10,10,7.581822502441001
2025-10-07,10,10,5.291502622129179
2025-10-10,10,10,-5.291502622125672
2025-10-13,10,10,5.253102834866135
2025-10-14,10,10,4.775440504312816
2025-10-15,10,10,6.185662989196394
2025-10-16,10,10,6.185662989196394
2025-10-17,10,10,6.185662989196394
2025-10-20,10,10,6.185662989196394
2025-10-21,10,10,6.185662989196394
2025-10-22,10,10,6.185662989196394
2025-10-23,10,10,6.185662989196394
2025-10-24,10,10,6.22465401736137
2025-10-27,10,10,3.437513301799806
2025-10-28,10,10,1.569725004583811
2025-10-29,10,10,-6.499709014943486
2025-10-30,10,10,3.5082326785245908
2025-10-31,10,10,3.5082326785245908
2025-11-03,10,10,3.5082326785245908
2025-11-04,10,10,3.5082326785245908
2025-11-05,10,10,3.5082326785245908
2025-11-06,10,10,3.5082326785245908
2025-11-07,10,10,3.5082326785245908
2025-11-10,10,10,3.556452100015496
2025-11-11,10,10,5.028855080053203
2025-11-12,10,10,5.291502622129181
2025-12-17,10,10,-5.291502622129181
2025-12-18,10,10,5.213306859352073
2025-12-19,10,10,7.799411540814864
2025-12-22,10,10,7.799411540814864
2025-12-23,10,10,7.799411540814864
2025-12-24,10,10,7.799411540814864
2025-12-26,10,10,7.799411540814864
2025-12-29,10,10,7.799411540814864
2025-12-30,10,10,7.799411540814864
2025-07-29,10,20,-1.2585474001616461
2025-07-30,10,20,-0.34947940125269367
2025-07-31,10,20,1.777696570962651
2025-08-01,10,20,1.7202581152018042
2025-08-04,10,20,4.061429388089694
2025-08-05,10,20,4.061429388089694
2025-08-06,10,20,4.061429388089694
2025-08-07,10,20,4.061429388089694
2025-08-08,10,20,4.061429388089694
2025-08-11,10,20,4.061429388089694
2025-08-12,10,20,4.061429388089694
2025-08-13,10,20,4.061429388089694
2025-08-14,10,20,4.061429388089694
2025-08-15,10,20,4.061429388089694
2025-08-18,10,20,4.061429388089694
2025-08-19,10,20,4.061429388089694
2025-08-20,10,20,4.0853737326445305
2025-08-21,10,20,4.165473658834828
2025-08-22,10,20,5.407731398504456
2025-08-25,10,20,5.342138990113918
2025-08-26,10,20,4.7315585072396305
2025-08-27,10,20,4.423950597923749
2025-08-28,10,20,3.616403658479175
2025-08-29,10,20,3.6418618720013045
2025-09-11,10,20,-3.6418618720117024
2025-09-12,10,20,2.411870224761622
2025-09-15,10,20,-3.465721621797206
2025-09-16,10,20,-2.4192028446749476
2025-09-17,10,20,-1.5597167887440144
2025-09-18,10,20,-3.543720050245126
2025-09-19,10,20,-4.495290369478769
2025-09-22,10,20,-5.918719779802488
2025-09-23,10,20,-2.955714232687979
2025-09-24,10,20,-1.8012604701302242
2025-09-25,10,20,-1.8012604701302242
2025-09-26,10,20,-1.8012604701302242
2025-09-29,10,20,-1.8012604701302242
2025-09-30,10,20,-1.8012604701302242
2025-10-01,10,20,-1.8012604701302242
2025-10-02,10,20,-1.8012604701302242
2025-10-03,10,20,-1.8012604701302242
2025-10-06,10,20,-1.8012604701302242
2025-10-07,10,20,-1.8012604701302242
2025-10-08,10,20,-1.8012604701302242
2025-10-09,10,20,-1.7683119313419222
2025-10-10,10,20,-1.9128263230856033
2025-10-13,10,20,2.9574466806772692
2025-10-14,10,20,2.426662537718758
2025-10-15,10,20,2.9818393563614674
2025-10-16,10,20,4.081099784193103
2025-10-17,10,20,4.5965866683790875
2025-10-20,10,20,5.933127550358331
2025-10-21,10,20,4.890168519918256
2025-10-22,10,20,4.216788012798233
2025-10-23,10,20,4.216788012798233
2025-10-24,10,20,4.216788012798233
2025-10-27,10,20,4.192129236985633
2025-10-28,10,20,3.498901719099805
2025-10-29,10,20,3.3846750988440295
2025-10-30,10,20,4.9519921220210525
2025-10-31,10,20,4.9519921220210525
2025-11-03,10,20,4.9519921220210525
2025-11-04,10,20,4.9519921220210525
2025-11-05,10,20,4.9519921220210525
2025-11-06,10,20,4.9519921220210525
2025-11-07,10,20,4.972955834710427
2025-11-10,10,20,3.227246949376281
2025-11-11,10,20,3.6304166118503125
2025-11-12,10,20,2.4509494855656055
2025-11-13,10,20,2.4509494855656055
2025-11-14,10,20,2.4509494855656055
2025-11-17,10,20,2.4509494855656055
2025-11-18,10,20,2.4509494855656055
2025-11-19,10,20,2.4509494855656055
2025-11-20,10,20,2.4509494855656055
2025-11-21,10,20,2.4509494855656055
2025-11-24,10,20,2.4838176574950923
2025-11-25,10,20,3.4699466640093157
2025-11-26,10,20,3.641861872001305
2025-12-17,10,20,-3.6418618720116234
2025-12-18,10,20,3.5908171184436632
2025-12-19,10,20,5.20958242833773
2025-12-22,10,20,5.20958242833773
2025-12-23,10,20,5.20958242833773
2025-12-24,10,20,5.20958242833773
2025-12-26,10,20,5.20958242833773
2025-12-29,10,20,5.20958242833773
2025-12-30,10,20,5.20958242833773
2025-09-24,10,60,1.317791649626558
2025-09-25,10,60,1.317791649626558
2025-09-26,10,60,1.317791649626558
2025-09-29,10,60,1.317791649626558
2025-09-30,10,60,1.317791649626558
2025-10-01,10,60,1.317791649626558
2025-10-02,10,60,1.317791649626558
2025-10-03,10,60,1.317791649626558
2025-10-06,10,60,1.317791649626558
2025-10-07,10,60,1.317791649626558
2025-10-08,10,60,1.317791649626558
2025-10-09,10,60,1.317791649626558
2025-10-10,10,60,1.3072621583053305
2025-10-13,10,60,2.3113900943417423
2025-10-14,10,60,2.205358868470823
2025-10-15,10,60,2.534425818250136
2025-10-16,10,60,2.542835744224299
2025-10-17,10,60,2.5708502188333076
2025-10-20,10,60,2.9704963564040745
2025-10-21,10,60,2.948995957215159
2025-10-22,10,60,2.738173385139515
2025-10-23,10,60,2.6334035641607483
2025-10-24,10,60,2.3471379212447223
2025-10-27,10,60,2.3471379212447228
2025-10-28,10,60,1.058489021634882
2025-10-29,10,60,1.0075521166434844
2025-10-30,10,60,1.8887630045206008
2025-10-31,10,60,1.8887630045206008
2025-11-03,10,60,1.8887630045206008
2025-11-04,10,60,1.8887630045206008
2025-11-05,10,60,1.8887630045206008
2025-11-06,10,60,1.8887630045206008
2025-11-07,10,60,1.8887630045206008
2025-11-10,10,60,1.8887630045206008
2025-11-11,10,60,1.8887630045206008
2025-11-12,10,60,1.8887630045206008
2025-11-13,10,60,1.8887630045206008
2025-11-14,10,60,1.8887630045206008
2025-11-17,10,60,1.8887630045206008
2025-11-18,10,60,1.8887630045206008
2025-11-19,10,60,1.8887630045206008
2025-11-20,10,60,1.8887630045206008
2025-11-21,10,60,1.8887630045206008
2025-11-24,10,60,1.8887630045206008
2025-11-25,10,60,1.8887630045206008
2025-11-26,10,60,1.8887630045206008
2025-11-28,10,60,1.8887630045206008
2025-12-01,10,60,1.8887630045206008
2025-12-02,10,60,1.8887630045206008
2025-12-03,10,60,1.8887630045206008
2025-12-04,10,60,1.8887630045206008
2025-12-05,10,60,1.898126672506864
2025-12-08,10,60,1.8670800318803384
2025-12-09,10,60,2.438783496942917
2025-12-10,10,60,2.309448460803423
